interval_start,call_volume,aht_seconds,agents_present
2025-05-05 00:00:00,50,288.24846113068065,2
2025-05-05 00:15:00,51,323.1902755346314,6
2025-05-05 00:30:00,53,305.601946582163,3
2025-05-05 00:45:00,55,327.0997773475003,4
2025-05-05 01:00:00,57,335.89048743405135,2
2025-05-05 01:15:00,59,318.9044949147066,5
2025-05-05 01:30:00,61,332.46572705348404,4
2025-05-05 01:45:00,63,310.14976112097924,3
2025-05-05 02:00:00,65,360.0501646966212,3
2025-05-05 02:15:00,66,344.0966389504727,4
2025-05-05 02:30:00,68,324.4959294790871,5
2025-05-05 02:45:00,69,333.4172246433645,5
2025-05-05 03:00:00,71,315.84107418995245,7
2025-05-05 03:15:00,72,334.1872730482897,7
2025-05-05 03:30:00,73,357.7459467850564,8
2025-05-05 03:45:00,75,338.7594366156884,4
2025-05-05 04:00:00,76,372.4135410540503,7
2025-05-05 04:15:00,77,356.12806324741643,8
2025-05-05 04:30:00,77,405.2101531576699,4
2025-05-05 04:45:00,78,377.21599984388365,4
2025-05-05 05:00:00,79,328.38678168584477,7
2025-05-05 05:15:00,79,326.36651513527175,4
2025-05-05 05:30:00,79,384.3882340679328,5
2025-05-05 05:45:00,79,329.4265588577567,4
2025-05-05 06:00:00,79,358.71128895198297,4
2025-05-05 06:15:00,79,317.0307067500745,6
2025-05-05 06:30:00,79,361.4767805568989,5
2025-05-05 06:45:00,79,331.9350555084345,6
2025-05-05 07:00:00,78,365.6998302532061,5
2025-05-05 07:15:00,78,355.4635946765784,8
2025-05-05 07:30:00,77,346.8703310034486,8
2025-05-05 07:45:00,76,349.56760051354934,6
2025-05-05 08:00:00,75,377.3217496028369,8
2025-05-05 08:15:00,74,351.55174132145186,8
2025-05-05 08:30:00,73,360.6803517177337,5
2025-05-05 08:45:00,72,327.3513819256459,5
2025-05-05 09:00:00,70,313.0593504886305,5
2025-05-05 09:15:00,69,366.79768852410666,6
2025-05-05 09:30:00,67,381.51227523510187,4
2025-05-05 09:45:00,65,342.51498306951953,7
2025-05-05 10:00:00,64,304.09816466505083,7
2025-05-05 10:15:00,62,340.836882450796,3
2025-05-05 10:30:00,60,338.27897835388353,7
2025-05-05 10:45:00,58,329.29709926256226,5
2025-05-05 11:00:00,56,312.59390091866845,5
2025-05-05 11:15:00,54,320.5848985353333,2
2025-05-05 11:30:00,52,342.3742600015869,2
2025-05-05 11:45:00,50,246.96993400792593,5
2025-05-05 12:00:00,49,296.73788113586096,6
2025-05-05 12:15:00,47,288.4733461702953,4
2025-05-05 12:30:00,45,301.7354351406782,1
2025-05-05 12:45:00,43,301.6104206200714,1
2025-05-05 13:00:00,41,260.7683744338032,2
2025-05-05 13:15:00,39,279.3608377336637,2
2025-05-05 13:30:00,37,277.2519202412948,3
2025-05-05 13:45:00,35,274.9055999895671,2
2025-05-05 14:00:00,34,291.03692252786567,3
2025-05-05 14:15:00,32,239.79812094577565,1
2025-05-05 14:30:00,30,276.81913763756467,1
2025-05-05 14:45:00,29,251.89600540868173,1
2025-05-05 15:00:00,27,273.6927886398917,2
2025-05-05 15:15:00,26,244.22146949631957,2
2025-05-05 15:30:00,25,255.0188057166027,4
2025-05-05 15:45:00,24,254.04467588041513,3
2025-05-05 16:00:00,23,189.9280101746902,1
2025-05-05 16:15:00,22,241.9617697417962,3
2025-05-05 16:30:00,21,255.68911341402728,2
2025-05-05 16:45:00,21,258.4238047591681,1
2025-05-05 17:00:00,20,233.85697128834474,1
